,sentence,sentence_annotation,intent,action,scenario,labels
1488,tell me the contact details of my brother,tell me the [personal_info : contact details] of my [relation : brother],email_querycontact,querycontact,email,16
1489,what will be this week weather condition,what will be [date : this week] weather condition,weather_query,query,weather,70
1490,did i make a shopping list,did i make a [list_name : shopping] list,lists_query,query,lists,36
1491,cancel all appointments in my calendar,cancel all [event_name : appointments] in my calendar,calendar_remove,remove,calendar,7
1492,turn to billy bob show,turn to billy bob show,play_radio,radio,play,48
1493,what's trump been on about this week,what's [person : trump] been on about [date : this week],qa_factoid,factoid,qa,53
1494,what is on this specific list,what is on this specific list,lists_query,query,lists,36
1495,remind me that i have an appointment twelve o clock on saturday,remind me that i have an [event_name : appointment] [time : twelve o clock] on [date : saturday],calendar_set,set,calendar,8
1496,pdr am radio,[radio_name : pdr am radio],play_radio,radio,play,48
1497,can you tell me what hypertrophy means,can you tell me what [definition_word : hypertrophy] means,qa_definition,definition,qa,52
1498,can i have the ten day forecast for me area,can i have the [time : ten day] forecast for me area,weather_query,query,weather,70
1499,i want to listen to rock,i want to listen to [music_genre : rock],play_music,music,play,46
1500,make the living room blue,make the [house_place : living room] [color_type : blue],iot_hue_lightchange,hue_lightchange,iot,27
1501,can you set the alarm for one hundred and thirty,can you set the alarm for [time : one hundred and thirty],alarm_set,set,alarm,2
1502,how many items are on my to do list,how many items are on my [list_name : to do] list,lists_query,query,lists,36
1503,what's going on in la,what's going on in [place_name : la],recommendation_events,events,recommendation,58
1504,when does the hockey game start on friday,when does the [event_name : hockey game] start on [date : friday],calendar_query,query,calendar,6
1505,turn on notification for all news on the stock market,turn on notification for all news on the [news_topic : stock market],qa_stock,stock,qa,55
1506,play the seventh episode of the morning after,play the seventh episode of [podcast_name : the morning after],play_podcasts,podcasts,play,47
1507,assistant shuffle entire library,assistant [player_setting : shuffle] [music_descriptor : entire library],play_music,music,play,46
1508,what does triumph mean,what does [definition_word : triumph] mean,qa_definition,definition,qa,52
1509,what is the exchange rate between us and france,what is the exchange rate between [currency_name : us] and [currency_name : france],qa_currency,currency,qa,51
1510,email friend,email friend,email_sendemail,sendemail,email,17
1511,who will be attending the meeting this friday,who will be attending the [event_name : meeting] [date : this friday],calendar_query,query,calendar,6
1512,tell me all known details about the tournament on march twenty two,tell me all known details about the [event_name : tournament] on [date : march twenty two],calendar_query,query,calendar,6
1513,give me all my recent emails,give me all my recent emails,email_query,query,email,15
1514,i need jacket after ten am or not,i need [weather_descriptor : jacket] [time : after ten am] or not,weather_query,query,weather,70
1515,what is s. d. in francs,what is [currency_name : s. d.] in [currency_name : francs],qa_currency,currency,qa,51
1516,what is the most concern issue in usa today and what can be done to deal with it effectively,what is the most concern issue in [place_name : usa] [date : today] and what can be done to deal with it effectively,general_quirky,quirky,general,21
1517,how far is it from new york to japan,how far is it from [place_name : new york] to [place_name : japan],transport_query,query,transport,66
1518,play songs from the r and b and soul genre,play songs from the [artist_name : r and b] and [music_genre : soul] genre,play_music,music,play,46
1519,replay the following podcast,replay the following podcast,play_podcasts,podcasts,play,47
1520,i need some ideas for dinner that are mexican,i need some ideas for dinner that are [food_type : mexican],cooking_recipe,recipe,cooking,11
1521,tell me the exchange rate for the yen,tell me the exchange rate for the [currency_name : yen],qa_currency,currency,qa,51
1522,tell me tom hanks middle name,tell me [person : tom hanks] middle name,qa_factoid,factoid,qa,53
1523,set reminder,set reminder,calendar_set,set,calendar,8
1524,i've heard this riff before what song stole this riff it's exactly the same,i've heard this riff before what song stole this riff it's exactly the same,music_query,query,music,41
1525,how do i bake a potato,how do i bake a [food_type : potato],cooking_recipe,recipe,cooking,11
1526,can you start the roomba,can you start the [device_type : roomba],iot_cleaning,cleaning,iot,25
1527,alter lunch event to repeat every friday,alter [meal_type : lunch] event to repeat [date : every friday],calendar_set,set,calendar,8
1528,is it going to rain tomorrow,is it going to [weather_descriptor : rain] [date : tomorrow],weather_query,query,weather,70
1529,what is going on in la today,what is going on in [place_name : la] [date : today],recommendation_events,events,recommendation,58
1530,what is my first appointment today,what is my first [event_name : appointment] [date : today],calendar_query,query,calendar,6
1531,what is six minus four,what is six minus four,qa_maths,maths,qa,54
1532,alexa please save the current song to favorites,alexa please save the current song to favorites,music_likeness,likeness,music,40
1533,please play this song again,please play this song again,play_music,music,play,46
1534,skip to the next episode,skip to the [podcast_descriptor : next episode],podcasts,podcasts,play,49
1535,minimize the light power,minimize the light power,iot_hue_lightdim,hue_lightdim,iot,28
1536,cancel my meeting on the fourteenth,cancel my [event_name : meeting] on the [date : fourteenth],calendar_remove,remove,calendar,7
1537,it's too bright in here can you turn a light off,it's too bright in here can you turn a light off,iot_hue_lightoff,hue_lightoff,iot,29
1538,how is weather likely to be in my area today,how is weather likely to be in my area [date : today],weather_query,query,weather,70
1539,list the items on my shopping list olly,list the items on my [list_name : shopping] list olly,lists_query,query,lists,36
1540,please remove the first list,please remove the first list,lists_remove,remove,lists,37
1541,tell me about the meeting i have this week,tell me about the [event_name : meeting] i have [date : this week],calendar_query,query,calendar,6
1542,tell me the weather for new brighton pa olly,tell me the weather for [place_name : new brighton pa] olly,weather_query,query,weather,70
1543,what is the current central time,what is the current [time_zone : central] time,datetime_query,query,datetime,13
1544,this is too bright,this is too bright,iot_hue_lightdim,hue_lightdim,iot,28
1545,mobile,mobile,general_quirky,quirky,general,21
1546,can i get delivery from this restaurant,can i get [order_type : delivery] from this [business_type : restaurant],takeaway_query,query,takeaway,65
1547,add vodka to my party shopping list,add vodka to my [list_name : party shopping] list,lists_query,query,lists,36
1548,take grocery buying off of the list,take grocery buying off of the list,lists_remove,remove,lists,37
1549,hey siri make sure my calendar is completely clear tomorrow,hey siri make sure my calendar is completely clear [date : tomorrow],calendar_remove,remove,calendar,7
1550,mention the stock price of hdfc,mention the stock price of [business_name : hdfc],qa_stock,stock,qa,55
1551,save to contacts,save to contacts,email_addcontact,addcontact,email,14
1552,calculate the resistance of this resistor,calculate the resistance of this resistor,qa_factoid,factoid,qa,53
1553,what will be the temperature out there tomorrow,what will be the [weather_descriptor : temperature] out there [date : tomorrow],weather_query,query,weather,70
1554,what's the current time in orlando fl,what's the current time in [place_name : orlando fl],datetime_query,query,datetime,13
1555,play the podcast of barack obama saved in device,play the podcast of [podcast_name : barack obama] saved in device,play_podcasts,podcasts,play,47
1556,softer,softer,audio_volume_down,volume_down,audio,3
1557,after this song play thriller,after this song play [song_name : thriller],play_music,music,play,46
1558,add grocery to list,add grocery to list,lists_createoradd,createoradd,lists,35
1559,in the calendar put that we are having dinner with frank at eight pm on the ninth of august,in the calendar put that we are having [meal_type : dinner] with frank at eight pm on the ninth of august,calendar_set,set,calendar,8
1560,increase the volume of the music to ninety,increase the volume of the music [change_amount : to ninety],audio_volume_up,volume_up,audio,5
1561,play tunes,play [media_type : tunes],play_radio,radio,play,48
1562,olly start the vacuum cleaner,olly start the [device_type : vacuum cleaner],iot_cleaning,cleaning,iot,25
1563,i want to hear some modern rock,i want to hear some [music_genre : modern rock],play_music,music,play,46
1564,please give me detail of o zaalima song,please give me detail of [artist_name : o zaalima] song,music_query,query,music,41
1565,what meetings do i have between eight ten today,what [event_name : meetings] do i have between [time : eight ten] [date : today],calendar_query,query,calendar,6
1566,can you create a new list,can you create a new list,lists_createoradd,createoradd,lists,35
1567,what's the weather in chicago,what's the weather in [place_name : chicago],weather_query,query,weather,70
1568,what day is it today,what day is it [date : today],datetime_query,query,datetime,13
1569,olly is there any current news on the presidential election,olly is there any current news on [news_topic : the presidential election],news_query,query,news,43
1570,set a reminder for my meeting at five pm,set a reminder for my [event_name : meeting] at [time : five pm],calendar_set,set,calendar,8
1571,turn off any morning alarms after friday,turn off any [timeofday : morning] alarms [date : after Friday],alarm_remove,remove,alarm,1
1572,set a wake up call for ten am,set a wake up call for [time : ten am],alarm_set,set,alarm,2
1573,actor who acts a role,actor who acts a role,qa_definition,definition,qa,52
1574,just let me know the current date today,just let me know the current date [date : today],datetime_query,query,datetime,13
1575,turn on the roomba,turn on the [device_type : roomba],iot_cleaning,cleaning,iot,25
1576,i want to go to sally's birthday on saturday at ten pm,i want to go to [person : sally's] [event_name : birthday] on [date : saturday] at [time : ten pm],calendar_set,set,calendar,8
1577,would you set the coffee maker running,would you set the [device_type : coffee maker] running,iot_coffee,coffee,iot,26
1578,olly what's next on my list,olly what's next on my list,lists_query,query,lists,36
1579,continue with my audiobook please,[player_setting : continue] with my [media_type : audiobook] please,play_audiobook,audiobook,play,44
1580,use google to show me how to cook,use google to show me how to cook,cooking_recipe,recipe,cooking,11
1581,play music from the jazz genre,play music from the [music_genre : jazz] genre,play_music,music,play,46
1582,what were the last five lists i made,what were the last five lists i made,lists_query,query,lists,36
1583,please remove my to do list from today,please remove my [list_name : to do] list from [date : today],lists_remove,remove,lists,37
1584,what are amd stock prices,what are [business_name : amd] stock prices,qa_stock,stock,qa,55
1585,show me one week weather of mumbai,show me [date : one week] weather of [place_name : mumbai],weather_query,query,weather,70
1586,search matthews deadlines,search [person : matthews] deadlines,email_query,query,email,15
1587,show me new york times news,show me [media_type : new york times] news,news_query,query,news,43
1588,search for new jokes,search for [joke_type : new] jokes,general_joke,joke,general,20
1589,where is the train station,where is the [place_name : train station],transport_query,query,transport,66
1590,get rid of my eight am alarm,get rid of my [time : eight am] alarm,alarm_remove,remove,alarm,1
1591,i want to go to bank of america give me directions,i want to go to [business_name : bank of america] give me directions,transport_query,query,transport,66
1592,what are the scores for the two ucl games going on right now,what are the scores for the [news_topic : two ucl games] going on right now,news_query,query,news,43
1593,set an alarm for five am,set an alarm for [time : five am],set,set,alarm,61
1594,what is a x,what is a x,qa_definition,definition,qa,52
1595,what is the cooking time for boiled eggs,what is the cooking time for [food_type : boiled eggs],cooking_recipe,recipe,cooking,11
1596,add to calendar may two is mary's birthday repeat every year,add to calendar [date : may two] is [person : mary's] [event_name : birthday] repeat [general_frequency : every year],calendar_set,set,calendar,8
1597,tweet lfi and let them know my app crashed,[media_type : tweet] [business_name : lfi] and let them know my app crashed,social_post,post,social,62
1598,where is the food festival tonight,where is the [event_name : food festival] [timeofday : tonight],recommendation_events,events,recommendation,58
1599,remind me to order more soap,remind me to order more soap,lists_createoradd,createoradd,lists,35
1600,play michael buble save the last dance,play [artist_name : michael buble] [song_name : save the last dance],play_music,music,play,46
1601,lights down to seven,lights down [change_amount : to seven],iot_hue_lightdim,hue_lightdim,iot,28
1602,get me an amtrak ticket to boston for next thursday the later the better,get me an amtrak ticket to [place_name : boston] for next [date : thursday] the later the better,transport_query,query,transport,66
1603,open irctc application and go to book ticket,open [app_name : irctc] application and go to book ticket,transport_ticket,ticket,transport,68
1604,please add my next meeting,please add my next [event_name : meeting],calendar_set,set,calendar,8
1605,what does the analysts say about the new immigration policies,what does the analysts say about the new [news_topic : immigration policies],news_query,query,news,43
1606,please remind me about swatishs birthday,please remind me about [person : swatishs] [event_name : birthday],calendar_set,set,calendar,8
1607,alexa add erosser@hotmail dot com as a new contact for emily rosser,alexa add [email_address : erosser@hotmail dot com] as a new contact for [person : emily rosser],email_addcontact,addcontact,email,14
1608,how tall is the empire state building,how tall is the empire state building,qa_factoid,factoid,qa,53
1609,do i have anything on my to do list,do i have anything on my [list_name : to do] list,lists_query,query,lists,36
1610,should i wear shorts today,should I wear [weather_descriptor : shorts] [date : today],weather_query,query,weather,70
1611,play a song from my favourites,play a song from my favourites,play_music,music,play,46
1612,start play spider,start play [game_name : spider],play_game,game,play,45
1613,what's going on around me,what's going on around me,recommendation_events,events,recommendation,58
1614,i wish to listen that radio channel,i wish to listen that radio channel,play_radio,radio,play,48
1615,remind me about the meeting in one hour,remind me about the [event_name : meeting] in [time : one hour],calendar_set,set,calendar,8
1616,what are the current stock prices for google,what are the current [news_topic : stock prices] for [business_name : google],qa_stock,stock,qa,55
1617,kindly switch off the light in the drawing hall,kindly switch off the light in the [house_place : drawing hall],iot_hue_lightoff,hue_lightoff,iot,29
1618,with all of the information you can gather on the internet could you please provide me with the best probable explanation of who killed president kennedy,with all of the information you can gather on the internet could you please provide me with the best probable explanation of who killed president kennedy,qa_factoid,factoid,qa,53
1619,it is hot today is not it,it is [weather_descriptor : hot] [date : today] is not it,weather_query,query,weather,70
1620,please send the email to my mom,please send the email to my [relation : mom],email_sendemail,sendemail,email,17
1621,please increase the light,please increase the light,iot_hue_lightup,hue_lightup,iot,31
1622,can you send an email to chelsea please,can you send an email to [person : chelsea] please,email_sendemail,sendemail,email,17
1623,it's depend pon the seen,it's depend pon the seen,lists_remove,remove,lists,37
1624,who was in the beatles,who was in the [artist_name : beatles],qa_factoid,factoid,qa,53
1625,do i have a date friday,do i have a date [date : friday],calendar_query,query,calendar,6
1626,ok google tweet the service at moe's diner is terrible,ok google [media_type : tweet] the service at moe's diner is terrible,social_post,post,social,62
1627,lower the volume,lower the volume,audio_volume_down,volume_down,audio,3
1628,remove the alarm set for four hundred am,remove the alarm set for [time : four hundred am],alarm_remove,remove,alarm,1
1629,make a list of numbers for me,make a list of [list_name : numbers] for me,lists_createoradd,createoradd,lists,35
1630,mute all responses now,mute all responses now,audio_volume_mute,volume_mute,audio,4
1631,find the exact location of the places,find the exact location of the places,recommendation_locations,locations,recommendation,59
1632,play classic songs,play [music_genre : classic] songs,play_music,music,play,46
1633,set an alarm for two hours from now please,set an alarm for [time : two hours from now] please,alarm_set,set,alarm,2
1634,tell me what time it is,tell me what time it is,datetime_query,query,datetime,13
1635,when is the bill cycle,when is the [event_name : bill cycle],calendar_query,query,calendar,6
1636,what's the us dollar rate today,what's the [currency_name : us dollar] rate [date : today],qa_currency,currency,qa,51
1637,touch the mute button,touch the mute button,audio_volume_mute,volume_mute,audio,4
1638,set and event for the fifteenth of every month to remind me to pay my internet bill,set and event for the [general_frequency : fifteenth of every month] to remind me to [event_name : pay my internet bill],calendar_set,set,calendar,8
1639,remove everything from the calendar,remove everything from the calendar,calendar_remove,remove,calendar,7
1640,check the current playing music title,check the current playing music title,music_query,query,music,41
1641,please make a coffee for me,please make a coffee for me,iot_coffee,coffee,iot,26
1642,play songs from playlist,play songs from playlist,play_music,music,play,46
1643,please i want to hear we will rock you from queen,please i want to hear [song_name : we will rock you] from [artist_name : queen],play_music,music,play,46
1644,open lists remove list,open lists remove list,lists_remove,remove,lists,37
1645,please delete all of my calendar events for the rest of the day,please delete all of my calendar events for the [time : rest of the day],calendar_remove,remove,calendar,7
1646,skip to the next podcast,skip to the [podcast_descriptor : next podcast],play_podcasts,podcasts,play,47
1647,add an event starting at three pm in goshen new york on may fifth for dan's graduation,add an event starting at [time : three pm] in [place_name : goshen new york] on [date : may fifth] for [event_name : dan's graduation],calendar_set,set,calendar,8
1648,what's the average elevation of the united states,what's the average elevation of the united states,qa_factoid,factoid,qa,53
1649,give me the description of laptop circuit,give me the description of [definition_word : laptop circuit],qa_definition,definition,qa,52
1650,when can i pick up my chinese food,when can i pick up my [food_type : chinese] food,takeaway_query,query,takeaway,65
1651,hey olly what is the definition of passive,hey olly what is the definition of [definition_word : passive],qa_definition,definition,qa,52
1652,"send email to robert, what time is dinner","send email to [person : robert], what time is dinner",email_sendemail,sendemail,email,17
1653,find a shop that sells beer,find a shop that sells [drink_type : beer],recommendation_locations,locations,recommendation,59
1654,what is hurricane,what is [definition_word : hurricane],qa_definition,definition,qa,52
1655,get the weather forecast for this week please,get the weather forecast for [date : this week] please,weather_query,query,weather,70
1656,play games,play games,play_game,game,play,45
1657,play music from the playlist,play music from the playlist,play_music,music,play,46
1658,delete the next event on the calendar,delete the next event on the calendar,calendar_remove,remove,calendar,7
1659,what is my afternoon schedule tomorrow,what is my [timeofday : afternoon] schedule [date : tomorrow],calendar_query,query,calendar,6
1660,what do i have going on this morning between ten twelve,[time : what] do i have going on this [time : morning between ten twelve],calendar_query,query,calendar,6
1661,its very dangerous one,its very dangerous one,weather_query,query,weather,70
1662,set a reminder for the meeting friday at three pm,set a reminder for the [event_name : meeting] [date : friday] at [time : three pm],calendar_set,set,calendar,8
1663,olly cancel alarms,olly cancel alarms,alarm_remove,remove,alarm,1
1664,what reminders are coming up this week,what reminders are coming up [date : this week],calendar_query,query,calendar,6
1665,please check my playlist,please check my playlist,music_likeness,likeness,music,40
1666,please show my list,please show my list,lists_query,query,lists,36
1667,please post a status on twitter say,please post a status on [media_type : twitter] say,social_post,post,social,62
1668,slow the volume speaker,slow the volume speaker,audio_volume_down,volume_down,audio,3
1669,do i have any new emails from john smith,do i have any new emails from [person : john smith],email_query,query,email,15
1670,set bob's birthday for every june third,set [person : bob's] [event_name : birthday] for [date : every june third],calendar_set,set,calendar,8
1671,what ingredient can be used to replace white wine,what ingredient can be used to replace [ingredient : white wine],cooking_recipe,recipe,cooking,11
1672,set a reminder for wednesdays at two pm,set a reminder for [date : wednesdays] at [time : two pm],calendar_set,set,calendar,8
1673,list my different alarm,list my different alarm,alarm_query,query,alarm,0
1674,who emailed me recently and what did they email about,who emailed me recently and what did they email about,email_query,query,email,15
1675,what time does the train leave for chicago,what time does the [transport_type : train] leave for [place_name : chicago],transport_query,query,transport,66
1676,give me recipes,give me recipes,cooking_recipe,recipe,cooking,11
1677,convert time zone,convert time zone,datetime_convert,convert,datetime,12
1678,what were the highlights from this evening's soccer match,what were the highlights from [timeofday : this evening's] [sport_type : soccer match],calendar_query,query,calendar,6
1679,play solitaire,play [game_name : solitaire],play_game,game,play,45
1680,tell me the most strange thing happening in the world today,tell me the most strange thing happening in the world [date : today],general_quirky,quirky,general,21
1681,give me updates on the hurricane news,give me updates on the [news_topic : hurricane] news,news_query,query,news,43
1682,make that song play next up,make that song play next up,play_music,music,play,46
1683,what can i cook with broccoli and chicken,what can i cook with [ingredient : broccoli] and [ingredient : chicken],cooking_recipe,recipe,cooking,11
1684,send me the stock market updates for today,send me the [news_topic : stock market] updates for [date : today],qa_stock,stock,qa,55
1685,tweet a complaint about my refrigerator to lg,[media_type : tweet] a complaint about my refrigerator to [business_name : lg],social_post,post,social,62
1686,what is the forecast in me area today,what is the forecast in me area [date : today],weather_query,query,weather,70
1687,do i have anything booked for tomorrow,do i have anything booked for [date : tomorrow],calendar_query,query,calendar,6
1688,what is burmuda tiangle,what is burmuda tiangle,qa_factoid,factoid,qa,53
1689,olly please check if i got any emails from mom,olly please check if i got any emails from [relation : mom],email_query,query,email,15
1690,delete from the calendar the next event,delete from the calendar the next event,calendar_remove,remove,calendar,7
1691,get me details of this person,get me details of this person,general_quirky,quirky,general,21
1692,is it supposed to snow this week,is it supposed to snow [date : this week],weather_query,query,weather,70
1693,what will the weather be next week,what will the weather be [date : next week],weather_query,query,weather,70
1694,add bola birthday of twelveth july to my calendar,add [person : bola] [event_name : birthday] of [date : twelveth july] to my calendar,calendar_set,set,calendar,8
1695,how many likes does my last instagram photo have,how many likes does my last [media_type : instagram] photo have,social_query,query,social,63
1696,play the song immediately,play the song [song_name : immediately],play_music,music,play,46
1697,play music by the beatles,play music by the [artist_name : beatles],play_music,music,play,46
1698,should i pick up some defrosting salt at the store,should i pick up some [food_type : defrosting salt] at the [business_type : store],weather_query,query,weather,70
1699,it's dark in here,it's dark in here,iot_hue_lighton,hue_lighton,iot,30
1700,let us play millionaires,let us play [game_name : millionaires],play_game,game,play,45
1701,olly i'll be seeing my therapist every thursday at two pm,olly i'll be seeing my [relation : therapist] [general_frequency : every thursday] at [time : two pm],calendar_set,set,calendar,8
1702,please start the coffee,please start the coffee,iot_coffee,coffee,iot,26
1703,turn on channel nine hundred and fifty one,turn on channel [radio_name : nine hundred and fifty one],play_radio,radio,play,48
1704,what day is it on fifth december,what day is it on [date : fifth december],datetime_query,query,datetime,13
1705,what will the weather be on the seventh,what will the weather be on the [date : seventh],weather_query,query,weather,70
1706,define xy,define xy,qa_definition,definition,qa,52
1707,what is the weather like now,what is the weather like now,weather_query,query,weather,70
1708,repeat the last song again,[player_setting : repeat] [music_descriptor : the last song] again,music_settings,settings,music,42
1709,can you tell me what happened to my social media,can you tell me what happened to my social media,social_query,query,social,63
1710,shuffle and play all songs by gavenda artist,[player_setting : shuffle] and play [music_descriptor : all] songs by [artist_name : gavenda] artist,play_music,music,play,46
1711,book a taxi for pickup at my current location in one hour's time,book a [transport_type : taxi] for pickup at my current location in [time : one hour's] time,transport_taxi,taxi,transport,67
1712,train time from brooklyn to queens,[transport_type : train] time from [place_name : brooklyn] to [place_name : queens],transport_query,query,transport,66
1713,what is the stock value of google,what is the stock value of [business_name : google],qa_stock,stock,qa,55
1714,can you put on the chuck palhunik audio book,can you [player_setting : put on] the [audiobook_name : chuck palhunik] audio book,play_audiobook,audiobook,play,44
1715,show me the time,show me the time,query,query,datetime,56
1716,olly email my appointments to reschedule,olly email my [event_name : appointments] to reschedule,email_sendemail,sendemail,email,17
1717,search email for contact,search email for contact,email_query,query,email,15
1718,current news cnn,current news [media_type : cnn],news_query,query,news,43
1719,book a taxi,book a [transport_type : taxi],transport_taxi,taxi,transport,67
1720,i don't want eggs,i don't want eggs,lists_remove,remove,lists,37
1721,turn my lights to some random color,turn my lights to some [color_type : random] color,iot_hue_lightchange,hue_lightchange,iot,27
1722,what is the weather near me this week,what is the weather near me [date : this week],weather_query,query,weather,70
1723,what is the exchange rate between the dollar and the euro currently,what is the exchange rate between the [currency_name : dollar] and the [currency_name : euro] currently,qa_currency,currency,qa,51
1724,i want to take a trip to switzerland for free can you take me there,i want to take a trip to [place_name : switzerland] for free can you take me there,general_quirky,quirky,general,21
1725,what is my event schedule tomorrow,what is my event schedule [date : tomorrow],calendar_query,query,calendar,6
1726,what is the latest news from syria,what is the latest news from [place_name : syria],news_query,query,news,43
1727,play from smashing pumpkins,play from [playlist_name : smashing pumpkins],play_music,music,play,46
1728,remove the santana music list,remove the [list_name : santana music] list,lists_remove,remove,lists,37
1729,replace color from light to dark,replace color from [color_type : light] to [color_type : dark],iot_hue_lightchange,hue_lightchange,iot,27
1730,please remove a list,please remove a list,lists_remove,remove,lists,37
1731,are there any pending appointments this morning,are there any pending [event_name : appointments] this [timeofday : morning],calendar_query,query,calendar,6
1732,read a poem for me,read a poem for me,general_quirky,quirky,general,21
1733,save the email to my contact,save the email to my contact,email_addcontact,addcontact,email,14
1734,what will the weather be like for this week,what will the weather be like for [date : this week],weather_query,query,weather,70
1735,how is pav bhaji cooked,how is [food_type : pav bhaji] cooked,cooking_recipe,recipe,cooking,11
1736,remind me to make a pizza tomorrow morning,remind me to [event_name : make a pizza] [date : tomorrow] [timeofday : morning],calendar_set,set,calendar,8
1737,very hectic,very hectic,general_quirky,quirky,general,21
1738,please post this picture to my facebook,please post this picture to my [media_type : facebook],social_post,post,social,62
1739,is there more traffic in canal street,is there more traffic in [place_name : canal street],transport_traffic,traffic,transport,69
1740,turn off lighting,turn off lighting,iot_hue_lightoff,hue_lightoff,iot,29
1741,what is the exchange rate between u. s. d. and inr,what is the exchange rate between [currency_name : u. s. d.] and [currency_name : inr],qa_currency,currency,qa,51
1742,turn the room light off,turn the [house_place : room] light off,iot_hue_lightoff,hue_lightoff,iot,29
1743,where is the closest restaurant,where is the closest [business_type : restaurant],recommendation_locations,locations,recommendation,59
1744,olly trending hot news topics,olly [news_topic : trending] hot news topics,news_query,query,news,43
1745,it's too dark here,it's too dark here,iot_hue_lighton,hue_lighton,iot,30
1746,check on this week's weather report,check on [date : this week's] weather report,weather_query,query,weather,70
1747,what apple trading at,what [business_name : apple] trading at,qa_stock,stock,qa,55
1748,show bio of rihana,show bio of [artist_name : rihana],qa_factoid,factoid,qa,53
1749,did my mom send me an email,did my [relation : mom] send me an email,email_query,query,email,15
1750,remind me to tweet at this company,remind me to [media_type : tweet] at this company,calendar_set,set,calendar,8
1751,please speak quieter to me,please speak quieter to me,audio_volume_down,volume_down,audio,3
1752,change dollar to rupees rates,change [currency_name : dollar] to [currency_name : rupees] rates,qa_currency,currency,qa,51
1753,can i have today's date,can i have [date : today's] date,datetime_query,query,datetime,13
1754,when is the party scheduled,when is the [event_name : party] scheduled,calendar_query,query,calendar,6
1755,do they offer takeaway,do they offer [order_type : takeaway],takeaway_query,query,takeaway,65
1756,when was dolly parton born,when was [person : Dolly parton] born,qa_factoid,factoid,qa,53
1757,set reminder for tomorrow for this item,set reminder for [date : tomorrow] for this item,calendar_set,set,calendar,8
1758,what's on my schedule for today,what's on my schedule for [date : today],calendar_query,query,calendar,6
1759,search for two tickets on tuesday's train to paris,search for two tickets on [date : tuesday's] [transport_type : train] to [place_name : paris],transport_ticket,ticket,transport,68
1760,please delete the contacts that i havent spoken to in three of months,please delete the contacts that i havent spoken to in [date : three of months],email_querycontact,querycontact,email,16
1761,siri play my pop playlist,siri play my [music_genre : pop] playlist,play_music,music,play,46
1762,play me a recent cover of cherry bomb,play me a [song_name : recent cover] of [artist_name : cherry bomb],play_music,music,play,46
1763,what is i. b. m. stock at,what is [business_name : i. b. m.] stock at,qa_stock,stock,qa,55
1764,display latest emails olly,display latest emails olly,email_query,query,email,15
1765,turn lights blue,turn lights [color_type : blue],iot_hue_lightchange,hue_lightchange,iot,27
1766,is there any news,is there any news,news_query,query,news,43
1767,what does today's schedule look like,what does [date : today's] schedule look like,calendar_query,query,calendar,6
1768,any incoming emails in the last five minutes,any incoming emails in the [time : last five minutes],email_query,query,email,15
1769,what's the weather like in new york city,what's the weather like in [place_name : new york city],weather_query,query,weather,70
1770,i want to listen to mc's podcast,i want to listen to [person : mc's] podcast,play_podcasts,podcasts,play,47
1771,is this week a payday week,is [date : this week] a payday week,calendar_query,query,calendar,6
1772,on february fourteenth make dinner reservations at the restaurant,on [date : february fourteenth] make [meal_type : dinner] reservations at the [business_type : restaurant],calendar_set,set,calendar,8
1773,let me know the time in india,let me know the time in [place_name : india],datetime_query,query,datetime,13
1774,play next episode,play [podcast_descriptor : next episode],play_podcasts,podcasts,play,47
1775,alexa play chess with me,alexa play [game_name : chess] with me,play_game,game,play,45
1776,let me know if there are any new emails from ebay,let me know if there are any new emails from [business_name : ebay],email_query,query,email,15
1777,check my inbox,check my [email_folder : inbox],email_query,query,email,15
1778,how many miles is it between illinois and louisiana,how many miles is it between [place_name : illinois] and [place_name : louisiana],qa_factoid,factoid,qa,53
1779,did mike send me an email,did [person : mike] send me an email,email_query,query,email,15
1780,explain to me how gravity works,explain to me how gravity works,qa_factoid,factoid,qa,53
1781,what is this week's weather forecast,what is [date : this week's] weather forecast,weather_query,query,weather,70
1782,i got drenched in the rain,i got drenched in the rain,general_quirky,quirky,general,21
1783,search for gluten free menus,search for [food_type : gluten free] menus,cooking_recipe,recipe,cooking,11
1784,play my current playlist from top,play my current playlist from top,play_music,music,play,46
1785,please inform me of any new status updates,please inform me of any new status updates,social_query,query,social,63
1786,what's the news for six hundred and forty five am today,what's the news for [time : six hundred and forty five am] [date : today],calendar_query,query,calendar,6
1787,do you think time travel is possible,do you think time travel is possible,general_quirky,quirky,general,21
1788,call pf chang's to order me egg foo young,call [business_name : pf chang's] to order me [food_type : egg foo young],takeaway_order,order,takeaway,64
1789,open the davinci code where i left off,open the [audiobook_name : davinci code] where i left off,play_audiobook,audiobook,play,44
1790,get me takeaway food,get me [order_type : takeaway] food,takeaway_order,order,takeaway,64
1791,give me information about the concert on tuesday night,give me information about the concert on [date : tuesday] [time : night],calendar_query,query,calendar,6
1792,what is the latest news on sprint,what is the latest news on [news_topic : sprint],news_query,query,news,43
1793,no speaking please,no speaking please,audio_volume_mute,volume_mute,audio,4
1794,switch off the light,switch off the light,iot_hue_lightoff,hue_lightoff,iot,29
1795,book my nearest available taxi,book my nearest available [transport_type : taxi],transport_taxi,taxi,transport,67
1796,can you please tell me what i have on my list,can you please tell me what i have on my list,lists_query,query,lists,36
1797,what song is this,what song is this,music_query,query,music,41
1798,open new email to this coworker at this email,open new email to this [relation : coworker] at this email,email_sendemail,sendemail,email,17
